titulo,autor,isbn,precio,condicion,tipo,categoria,editorial,año,fotos
Don Quijote de la Mancha (Edición IV Centenario),Miguel de Cervantes,9788420412146,15000,buen_estado,venta,Novela,Alfaguara / RAE,2004,PHOTO-2026-06-03-19-14-16.jpg
La Primera Guerra Mundial en la Costa de Chile,Germán Bravo Valdivieso,9789567472307,12000,buen_estado,venta,Historia,Altazor,2005,PHOTO-2026-06-03-19-13-53.jpg
El Código Da Vinci,Dan Brown,,3000,buen_estado,venta,Policial y suspenso,Umbriel,,PHOTO-2026-06-03-19-14-51.jpg
Mundo Azul,Robert McCammon,,4500,buen_estado,venta,Terror,Ediciones B,,PHOTO-2026-06-03-19-14-38.jpg
El Mundo Perdido,Arthur Conan Doyle,,5500,estado_regular,venta,Ciencia ficción,Hyspamérica,,PHOTO-2026-06-03-19-16-44.jpg
Las guerras que nos esperan,Raúl Sohr,,7000,buen_estado,venta,Ensayo,Ediciones B,,PHOTO-2026-06-03-19-16-00.jpg
La última legión,Valerio Massimo Manfredi,,5500,buen_estado,venta,Novela histórica,Grijalbo,,WhatsApp Image 2026-06-03 at 19.24.13.jpeg
A History of Brighton and Hove,Kenneth Fines,,6000,buen_estado,venta,Inglés,,,PHOTO-2026-06-03-19-21-38.jpg
El Signo de Salomón,Marisa Azuara,,5000,buen_estado,venta,Religión y espiritualidad,Amares,,PHOTO-2026-06-03-19-15-47.jpg
La Biblia de la Computación e Internet,Grupo Clase,,2500,buen_estado,venta,Técnico,Grupo Clase,,PHOTO-2026-06-03-19-15-14.jpg
Enciclopedia de Biografías,VV.AA.,,6000,buen_estado,venta,Enciclopedias,,,
Química Orgánica,VV.AA.,,6000,buen_estado,venta,Ciencia,,,PHOTO-2026-06-03-19-17-10.jpg
Física I,Maiztegui y Sabato,,7000,buen_estado,venta,Ciencia,,,
Física II,Maiztegui y Sabato,,7000,buen_estado,venta,Ciencia,,,
Historia de Chile,VV.AA.,,7000,buen_estado,venta,Historia,,,
Aléxandros I: El hijo del sueño,Valerio Massimo Manfredi,,5000,estado_regular,venta,Novela histórica,Grijalbo,,PHOTO-2026-06-03-19-18-07.jpg
Aléxandros II: Las arenas de Amón,Valerio Massimo Manfredi,,5000,estado_regular,venta,Novela histórica,Grijalbo,,PHOTO-2026-06-03-19-18-07.jpg
Aléxandros III: El confín del mundo,Valerio Massimo Manfredi,,5000,estado_regular,venta,Novela histórica,Grijalbo,,PHOTO-2026-06-03-19-18-07.jpg
El Imperio de los Dragones,Valerio Massimo Manfredi,,5500,buen_estado,venta,Novela histórica,Grijalbo,,WhatsApp Image 2026-06-03 at 19.23.47.jpeg
Álgebra,Aurelio Baldor,,7000,estado_regular,venta,Matemáticas,,,
Química General e Inorgánica,VV.AA.,,6000,buen_estado,venta,Ciencia,,,
Diccionario Enciclopédico Ilustrado,Norma,,3500,buen_estado,venta,Enciclopedias,Norma,,
